"code","long_description","medium_description","short_description"
"11004","Debridement of skin, subcutaneous tissue, muscle and fascia for necrotizing soft tissue infection; external genitalia and perineum","DBRDMT SKN SUBQ T/M/F NECRO INFCTJ GENT&PR","DEBRIDE GENITALIA & PERINEUM"
"11005","Debridement of skin, subcutaneous tissue, muscle and fascia for necrotizing soft tissue infection; abdominal wall, with or without fascial closure","DBRDMT SKN SUBQ T/M/F NECRO INFCTJ ABDL WALL","DEBRIDE ABDOM WALL"
"11006","Debridement of skin, subcutaneous tissue, muscle and fascia for necrotizing soft tissue infection; external genitalia, perineum and abdominal wall, with or without fascial closure","DBRDMT SKN SUBQ T/M/F NECRO INFCTJ GENT/ABDL","DEBRIDE GENIT/PER/ABDOM WALL"
"11008","Removal of prosthetic material or mesh, abdominal wall for infection (eg, for chronic or recurrent mesh infection or necrotizing soft tissue infection) (List separately in addition to code for primary procedure)","REMOVAL PROSTHETIC MATRL ABDL WALL FOR INFECTION","REMOVE MESH FROM ABD WALL"
"11010","Debridement including removal of foreign material at the site of an open fracture and/or an open dislocation (eg, excisional debridement); skin and subcutaneous tissues","DBRDMT W/RMVL FM FX&/DISLC SKN&SUBQ TISS","DEBRIDE SKIN AT FX SITE"
"11011","Debridement including removal of foreign material at the site of an open fracture and/or an open dislocation (eg, excisional debridement); skin, subcutaneous tissue, muscle fascia, and muscle","DBRDMT W/RMVL FM FX&/DISLC SKN SUBQ T/M/F MUSC","DEBRIDE SKIN MUSC AT FX SITE"
"11012","Debridement including removal of foreign material at the site of an open fracture and/or an open dislocation (eg, excisional debridement); skin, subcutaneous tissue, muscle fascia, muscle, and bone","DBRDMT FX&/DISLC SUBQ T/M/F BONE","DEB SKIN BONE AT FX SITE"
"11042","Debridement, subcutaneous tissue (includes epidermis and dermis, if performed); first 20 sq cm or less","DEBRIDEMENT SUBCUTANEOUS TISSUE 20 SQ CM/<","DEB SUBQ TISSUE 20 SQ CM/<"
"11043","Debridement, muscle and/or fascia (includes epidermis, dermis, and subcutaneous tissue, if performed); first 20 sq cm or less","DEBRIDEMENT MUSCLE & FASCIA 20 SQ CM/<","DEB MUSC/FASCIA 20 SQ CM/<"
"11044","Debridement, bone (includes epidermis, dermis, subcutaneous tissue, muscle and/or fascia, if performed); first 20 sq cm or less","DEBRIDEMENT BONE MUSCLE &/FASCIA 20 SQ CM/<","DEB BONE 20 SQ CM/<"
"11045","Debridement, subcutaneous tissue (includes epidermis and dermis, if performed); each additional 20 sq cm, or part thereof (List separately in addition to code for primary procedure)","DBRDMT SUBCUTANEOUS TISSUE EA ADDL 20 SQ CM<","DEB SUBQ TISSUE ADD-ON"
"11046","Debridement, muscle and/or fascia (includes epidermis, dermis, and subcutaneous tissue, if performed); each additional 20 sq cm, or part thereof (List separately in addition to code for primary procedure)","DEBRIDEMENT MUSCLE &/FASCIA EA ADDL 20 SQ CM","DEB MUSC/FASCIA ADD-ON"
"11047","Debridement, bone (includes epidermis, dermis, subcutaneous tissue, muscle and/or fascia, if performed); each additional 20 sq cm, or part thereof (List separately in addition to code for primary procedure)","DEBRIDEMENT BONE EACH ADDITIONAL 20 SQ CM/<","DEB BONE ADD-ON"
"11055","Paring or cutting of benign hyperkeratotic lesion (eg, corn or callus); single lesion","PARING/CUTTING BENIGN HYPERKERATOTIC LESION 1","TRIM SKIN LESION"
"11056","Paring or cutting of benign hyperkeratotic lesion (eg, corn or callus); 2 to 4 lesions","PARING/CUTTING BENIGN HYPERKERATOTIC LESION 2-4","TRIM SKIN LESIONS 2 TO 4"
"11057","Paring or cutting of benign hyperkeratotic lesion (eg, corn or callus); more than 4 lesions","PARING/CUTTING BENIGN HYPERKERATOTIC LESION >4","TRIM SKIN LESIONS OVER 4"
"11100","Biopsy of skin, subcutaneous tissue and/or mucous membrane (including simple closure), unless otherwise listed; single lesion","BX SKIN SUBCUTANEOUS&/MUCOUS MEMBRANE 1 LESION","BIOPSY SKIN LESION"
"11101","Biopsy of skin, subcutaneous tissue and/or mucous membrane (including simple closure), unless otherwise listed; each separate/additional lesion (List separately in addition to code for primary procedure)","BIOPSY SKIN SUBQ&/MUCOUS MEMBRANE EA ADDL LESION","BIOPSY SKIN ADD-ON"
"11200","Removal of skin tags, multiple fibrocutaneous tags, any area; up to and including 15 lesions","REMOVAL SKN TAGS MLT FIBRQ TAGS ANY AREA UP&W/15","REMOVAL OF SKIN TAGS"
"11201","Removal of skin tags, multiple fibrocutaneous tags, any area; each additional 10 lesions, or part thereof (List separately in addition to code for primary procedure)","REMOVAL SK TGS MLT FIBRQ TAGS ANY AREA EA 10<","REMOVE SKIN TAGS ADD-ON"
"11300","Shaving of epidermal or dermal lesion, single lesion, trunk, arms or legs; lesion diameter 0.5 cm or less","SHAVING SKIN LES 1 TRUNK/ARM/LEG DIAM 0.5CM/<","SHAVE SKIN LESION"
"11301","Shaving of epidermal or dermal lesion, single lesion, trunk, arms or legs; lesion diameter 0.6 to 1.0 cm","SHVG SKIN LES 1 TRUNK/ARM/LEG DIAM 0.6-1.0 CM","SHAVE SKIN LESION"
"11302","Shaving of epidermal or dermal lesion, single lesion, trunk, arms or legs; lesion diameter 1.1 to 2.0 cm","SHVG SKN LESION 1 TRUNK/ARM/LEG DIAM 1.1-2.0 CM","SHAVE SKIN LESION"
"11303","Shaving of epidermal or dermal lesion, single lesion, trunk, arms or legs; lesion diameter over 2.0 cm","SHVG SKIN LESION 1 TRUNK/ARM/LEG DIAM >2.0 CM","SHAVE SKIN LESION"
"11305","Shaving of epidermal or dermal lesion, single lesion, scalp, neck, hands, feet, genitalia; lesion diameter 0.5 cm or less","SHAVING SKIN LESION 1 S/N/H/F/G DIAM 0.5 CM/<","SHAVE SKIN LESION"
"11306","Shaving of epidermal or dermal lesion, single lesion, scalp, neck, hands, feet, genitalia; lesion diameter 0.6 to 1.0 cm","SHAVING SKIN LESION 1 S/N/H/F/G DIAM 0.6-1.0 CM","SHAVE SKIN LESION"
"11307","Shaving of epidermal or dermal lesion, single lesion, scalp, neck, hands, feet, genitalia; lesion diameter 1.1 to 2.0 cm","SHAVING SKIN LESION 1 S/N/H/F/G DIAM 1.1-2.0 CM","SHAVE SKIN LESION"
"11308","Shaving of epidermal or dermal lesion, single lesion, scalp, neck, hands, feet, genitalia; lesion diameter over 2.0 cm","SHAVING SKIN LESION 1 S/N/H/F/G DIAM >2.0 CM","SHAVE SKIN LESION"
"11310","Shaving of epidermal or dermal lesion, single lesion, face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 0.5 cm or less","SHAVING SKIN LESION 1 F/E/E/N/L/M DIAM 0.5 CM/<","SHAVE SKIN LESION"
"11311","Shaving of epidermal or dermal lesion, single lesion, face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 0.6 to 1.0 cm","SHVG SKIN LESION 1 F/E/E/N/L/M DIAM 0.6-1.0 CM","SHAVE SKIN LESION"
"11312","Shaving of epidermal or dermal lesion, single lesion, face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 1.1 to 2.0 cm","SHVG SKIN LESION 1 F/E/E/N/L/M DIAM 1.1-2.0 CM","SHAVE SKIN LESION"
"11313","Shaving of epidermal or dermal lesion, single lesion, face, ears, eyelids, nose, lips, mucous membrane; lesion diameter over 2.0 cm","SHAVING SKIN LESION 1 F/E/E/N/L/M DIAM >2.0 CM","SHAVE SKIN LESION"
"11400","Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 0.5 cm or less","EXC B9 LES MRGN XCP SK TG T/A/L 0.5 CM/<","EXC TR-EXT B9+MARG 0.5 < CM"
"11401","Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 0.6 to 1.0 cm","EXC B9 LES MRGN XCP SK TG T/A/L 0.6-1.0 CM","EXC TR-EXT B9+MARG 0.6-1 CM"
"11402","Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 1.1 to 2.0 cm","EXC B9 LES MRGN XCP SK TG T/A/L 1.1-2.0 CM","EXC TR-EXT B9+MARG 1.1-2 CM"
"11403","Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 2.1 to 3.0 cm","EXC B9 LES MRGN XCP SK TG T/A/L 2.1-3.0 CM/>","EXC TR-EXT B9+MARG 2.1-3 CM"
"11404","Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 3.1 to 4.0 cm","EXC B9 LES MRGN XCP SK TG T/A/L 3.1-4.0 CM","EXC TR-EXT B9+MARG 3.1-4 CM"
"11406","Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter over 4.0 cm","EXC B9 LES MRGN XCP SK TG T/A/L > 4.0 CM","EXC TR-EXT B9+MARG > 4.0 CM"
"11420","Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter 0.5 cm or less","EXC B9 LES MRGN XCP SK TG S/N/H/F/G 0.5 CM/<","EXC H-F-NK-SP B9+MARG 0.5 <"
"11421","Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter 0.6 to 1.0 cm","EXC B9 LES MRGN XCP SK TG S/N/H/F/G 0.6-1.0CM","EXC H-F-NK-SP B9+MARG 0.6-1"
"11422","Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter 1.1 to 2.0 cm","EXC B9 LES MRGN XCP SK TG S/N/H/F/G 1.1-2.0CM","EXC H-F-NK-SP B9+MARG 1.1-2"
"11423","Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter 2.1 to 3.0 cm","EXC B9 LES MRGN XCP SK TG S/N/H/F/G 2.1-3.0CM","EXC H-F-NK-SP B9+MARG 2.1-3"
"11424","Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter 3.1 to 4.0 cm","EXC B9 LES MRGN XCP SK TG S/N/H/F/G 3.1-4.0CM","EXC H-F-NK-SP B9+MARG 3.1-4"
"11426","Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter over 4.0 cm","EXC B9 LES MRGN XCP SK TG S/N/H/F/G > 4.0CM","EXC H-F-NK-SP B9+MARG > 4 CM"
"11440","Excision, other benign lesion including margins, except skin tag (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; excised diameter 0.5 cm or less","EXC B9 LES MRGN XCP SK TG F/E/E/N/L/M 0.5CM/<","EXC FACE-MM B9+MARG 0.5 < CM"
"11441","Excision, other benign lesion including margins, except skin tag (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; excised diameter 0.6 to 1.0 cm","EXC B9 LES MRGN XCP SK TG F/E/E/N/L/M 0.6-1.0CM","EXC FACE-MM B9+MARG 0.6-1 CM"
"11442","Excision, other benign lesion including margins, except skin tag (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; excised diameter 1.1 to 2.0 cm","EXC B9 LES MRGN XCP SK TG F/E/E/N/L/M 1.1-2.0CM","EXC FACE-MM B9+MARG 1.1-2 CM"
"11443","Excision, other benign lesion including margins, except skin tag (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; excised diameter 2.1 to 3.0 cm","EXC B9 LES MRGN XCP SK TG F/E/E/N/L/M 2.1-3.0CM","EXC FACE-MM B9+MARG 2.1-3 CM"
"11444","Excision, other benign lesion including margins, except skin tag (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; excised diameter 3.1 to 4.0 cm","EXC B9 LES MRGN XCP SK TG F/E/E/N/L/M 3.1-4.0CM","EXC FACE-MM B9+MARG 3.1-4 CM"
"11446","Excision, other benign lesion including margins, except skin tag (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; excised diameter over 4.0 cm","EXC B9 LES MRGN XCP SK TG F/E/E/N/L/M > 4.0CM","EXC FACE-MM B9+MARG > 4 CM"
"11450","Excision of skin and subcutaneous tissue for hidradenitis, axillary; with simple or intermediate repair","EXCISION HIDRADENITIS AXILLARY SMPL/INTRM RPR","REMOVAL SWEAT GLAND LESION"
"11451","Excision of skin and subcutaneous tissue for hidradenitis, axillary; with complex repair","EXCISION HIDRADENITIS AXILLARY COMPLEX REPAIR","REMOVAL SWEAT GLAND LESION"
"11462","Excision of skin and subcutaneous tissue for hidradenitis, inguinal; with simple or intermediate repair","EXCISION HIDRADENITIS INGUINAL SMPL/INTRM RPR","REMOVAL SWEAT GLAND LESION"
"11463","Excision of skin and subcutaneous tissue for hidradenitis, inguinal; with complex repair","EXCISION HIDRADENITIS INGUINAL COMPLEX REPAIR","REMOVAL SWEAT GLAND LESION"
"11470","Excision of skin and subcutaneous tissue for hidradenitis, perianal, perineal, or umbilical; with simple or intermediate repair","EXCISION H/P/P/U SIMPLE/INTERMEDIATE REPAIR","REMOVAL SWEAT GLAND LESION"
"11471","Excision of skin and subcutaneous tissue for hidradenitis, perianal, perineal, or umbilical; with complex repair","EXCISION H/P/P/U COMPLEX REPAIR","REMOVAL SWEAT GLAND LESION"
"11600","Excision, malignant lesion including margins, trunk, arms, or legs; excised diameter 0.5 cm or less","EXCISION MAL LESION TRUNK/ARM/LEG 0.5 CM/<","EXC TR-EXT MAL+MARG 0.5 < CM"
"11601","Excision, malignant lesion including margins, trunk, arms, or legs; excised diameter 0.6 to 1.0 cm","EXCISION MAL LESION TRUNK/ARM/LEG 0.6-1.0 CM","EXC TR-EXT MAL+MARG 0.6-1 CM"
"11602","Excision, malignant lesion including margins, trunk, arms, or legs; excised diameter 1.1 to 2.0 cm","EXCISION MAL LESION TRUNK/ARM/LEG 1.1-2.0 CM","EXC TR-EXT MAL+MARG 1.1-2 CM"
"11603","Excision, malignant lesion including margins, trunk, arms, or legs; excised diameter 2.1 to 3.0 cm","EXCISION MAL LESION TRUNK/ARM/LEG 2.1-3.0 CM/>","EXC TR-EXT MAL+MARG 2.1-3 CM"
"11604","Excision, malignant lesion including margins, trunk, arms, or legs; excised diameter 3.1 to 4.0 cm","EXCISION MAL LESION TRUNK/ARM/LEG 3.1-4.0 CM","EXC TR-EXT MAL+MARG 3.1-4 CM"
"11606","Excision, malignant lesion including margins, trunk, arms, or legs; excised diameter over 4.0 cm","EXCISION MALIGNANT LESION TRUNK/ARM/LEG >4.0 CM","EXC TR-EXT MAL+MARG > 4 CM"
"11620","Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter 0.5 cm or less","EXCISION MALIGNANT LESION S/N/H/F/G 0.5 CM/<","EXC H-F-NK-SP MAL+MARG 0.5 <"
"11621","Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter 0.6 to 1.0 cm","EXCISION MALIGNANT LESION S/N/H/F/G 0.6-1.0 CM","EXC S/N/H/F/G MAL+MRG 0.6-1"
"11622","Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter 1.1 to 2.0 cm","EXCISION MALIGNANT LESION S/N/H/F/G 1.1-2.0 CM","EXC S/N/H/F/G MAL+MRG 1.1-2"
"11623","Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter 2.1 to 3.0 cm","EXCISION MALIGNANT LESION S/N/H/F/G 2.1-3.0 CM/>","EXC S/N/H/F/G MAL+MRG 2.1-3"
"11624","Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter 3.1 to 4.0 cm","EXCISION MALIGNANT LESION S/N/H/F/G 3.1-4.0 CM","EXC S/N/H/F/G MAL+MRG 3.1-4"
"11626","Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter over 4.0 cm","EXCISION MALIGNANT LESION S/N/H/F/G > 4.0 CM","EXC S/N/H/F/G MAL+MRG > 4 CM"
"11640","Excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter 0.5 cm or less","EXCISION MALIGNANT LESION F/E/E/N/L 0.5 CM/<","EXC F/E/E/N/L MAL+MRG 0.5CM<"
"11641","Excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter 0.6 to 1.0 cm","EXCISION MALIGNANT LES F/E/E/N/L 0.6-1.0 CM","EXC F/E/E/N/L MAL+MRG 0.6-1"
"11642","Excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter 1.1 to 2.0 cm","EXCISION MALIGNANT LES F/E/E/N/L 1.1-2.0 CM","EXC F/E/E/N/L MAL+MRG 1.1-2"
"11643","Excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter 2.1 to 3.0 cm","EXCISION MALIGNANT LES F/E/E/N/L 2.1-3.0 CM/>","EXC F/E/E/N/L MAL+MRG 2.1-3"
"11644","Excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter 3.1 to 4.0 cm","EXCISION MALIGNANT LES F/E/E/N/L 3.1-4.0 CM","EXC F/E/E/N/L MAL+MRG 3.1-4"
"11646","Excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter over 4.0 cm","EXCISION MALIGNANT LESION F/E/E/N/L > 4.0 CM","EXC F/E/E/N/L MAL+MRG > 4 CM"
"11719","Trimming of nondystrophic nails, any number","TRIMMING NONDYSTROPHIC NAILS ANY NUMBER","TRIM NAIL(S)"
"11720","Debridement of nail(s) by any method(s); 1 to 5","DEBRIDEMENT NAIL ANY METHOD 1-5","DEBRIDE NAIL 1-5"
"11721","Debridement of nail(s) by any method(s); 6 or more","DEBRIDEMENT NAIL ANY METHOD 6/>","DEBRIDE NAIL 6 OR MORE"
"11730","Avulsion of nail plate, partial or complete, simple; single","AVULSION NAIL PLATE PARTIAL/COMPLETE SIMPLE 1","REMOVAL OF NAIL PLATE"
"11732","Avulsion of nail plate, partial or complete, simple; each additional nail plate (List separately in addition to code for primary procedure)","AVULSION NAIL PLATE PARTIAL/COMP SIMPLE EA ADDL","REMOVE NAIL PLATE ADD-ON"
"11740","Evacuation of subungual hematoma","EVACUATION SUBUNGUAL HEMATOMA","DRAIN BLOOD FROM UNDER NAIL"
"11750","Excision of nail and nail matrix, partial or complete (eg, ingrown or deformed nail), for permanent removal;","EXCISION NAIL MATRIX PERMANENT REMOVAL","REMOVAL OF NAIL BED"
"11752","Excision of nail and nail matrix, partial or complete (eg, ingrown or deformed nail), for permanent removal; with amputation of tuft of distal phalanx","EXC NAIL MATRIX PRM RMVL W/AMP TUFT DSTL PHALANX","REMOVE NAIL BED/FINGER TIP"
"11755","Biopsy of nail unit (eg, plate, bed, matrix, hyponychium, proximal and lateral nail folds) (separate procedure)","BIOPSY NAIL UNIT SEPARATE PROCEDURE","BIOPSY NAIL UNIT"
"11760","Repair of nail bed","REPAIR NAIL BED","REPAIR OF NAIL BED"
"11762","Reconstruction of nail bed with graft","RECONSTRUCTION NAIL BED W/GRAFT","RECONSTRUCTION OF NAIL BED"
"11765","Wedge excision of skin of nail fold (eg, for ingrown toenail)","WEDGE EXCISION SKIN NAIL FOLD","EXCISION OF NAIL FOLD TOE"
"11770","Excision of pilonidal cyst or sinus; simple","EXCISION PILONIDAL CYST/SINUS SIMPLE","REMOVAL OF PILONIDAL LESION"
"11771","Excision of pilonidal cyst or sinus; extensive","EXCISION PILONIDAL CYST/SINUS EXTENSIVE","REMOVAL OF PILONIDAL LESION"
"11772","Excision of pilonidal cyst or sinus; complicated","EXCISION PILONIDAL CYST/SINUS COMPLICATED","REMOVAL OF PILONIDAL LESION"
"11900","Injection, intralesional; up to and including 7 lesions","INJECTION INTRALESIONAL UP TO & INCLUD 7 LESIONS","INJECTION INTO SKIN LESIONS"
"11901","Injection, intralesional; more than 7 lesions","INJECTION INTRALESIONAL >7 LESIONS","ADDED SKIN LESIONS INJECTION"
"11920","Tattooing, intradermal introduction of insoluble opaque pigments to correct color defects of skin, including micropigmentation; 6.0 sq cm or less","TATTOOING INCL MICROPIGMENTATION 6.0 CM/<","CORRECT SKIN COLOR DEFECTS"
"11921","Tattooing, intradermal introduction of insoluble opaque pigments to correct color defects of skin, including micropigmentation; 6.1 to 20.0 sq cm","TATTOOING INCL MICROPIGMENTATION 6.1-20.0 CM","CORRECT SKIN COLOR DEFECTS"
"11922","Tattooing, intradermal introduction of insoluble opaque pigments to correct color defects of skin, including micropigmentation; each additional 20.0 sq cm, or part thereof (List separately in addition to code for primary procedure)","TATTOOING INCL MICROPIGMENTATION EA 20.0 CM","CORRECT SKIN COLOR DEFECTS"
"11950","Subcutaneous injection of filling material (eg, collagen); 1 cc or less","SUBCUTANEOUS INJECTION FILLING MATERIAL 1 CC/<","THERAPY FOR CONTOUR DEFECTS"
"11951","Subcutaneous injection of filling material (eg, collagen); 1.1 to 5.0 cc","SUBCUTANEOUS INJECTION FILLING MATRL 1.1-5.0 CC","THERAPY FOR CONTOUR DEFECTS"
"11952","Subcutaneous injection of filling material (eg, collagen); 5.1 to 10.0 cc","SUBCUTANEOUS INJECTION FILLING MATRL 5.1-10.0CC","THERAPY FOR CONTOUR DEFECTS"
"11954","Subcutaneous injection of filling material (eg, collagen); over 10.0 cc","SUBCUTANEOUS INJECTION FILLING MATRL > 10.0 CC","THERAPY FOR CONTOUR DEFECTS"
"11960","Insertion of tissue expander(s) for other than breast, including subsequent expansion","INSERTION TISSUE EXPANDER INCL SBSQ XPNSJ","INSERT TISSUE EXPANDER(S)"
"11970","Replacement of tissue expander with permanent prosthesis","REPLACEMENT TISS EXPANDER PERMANENT PROSTHESIS","REPLACE TISSUE EXPANDER"
"11971","Removal of tissue expander(s) without insertion of prosthesis","REMOVAL TISS EXPANDER W/O INSERTION PROSTHESIS","REMOVE TISSUE EXPANDER(S)"
"11976","Removal, implantable contraceptive capsules","REMOVAL IMPLANTABLE CONTRACEPTIVE CAPSULES","REMOVAL OF CONTRACEPTIVE CAP"
"11980","Subcutaneous hormone pellet implantation (implantation of estradiol and/or testosterone pellets beneath the skin)","SUBCUTANEOUS HORMONE PELLET IMPLANTATION","IMPLANT HORMONE PELLET(S)"
"11981","Insertion, non-biodegradable drug delivery implant","INSJ NON-BIODEGRADABLE DRUG DELIVERY IMPLANT","INSERT DRUG IMPLANT DEVICE"
"11982","Removal, non-biodegradable drug delivery implant","REMOVAL NON-BIODEGRADABLE DRUG DELIVERY IMPLANT","REMOVE DRUG IMPLANT DEVICE"
"11983","Removal with reinsertion, non-biodegradable drug delivery implant","RMVL W/RINSJ NON-BIODEGRADABLE DRUG DLVR IMPLT","REMOVE/INSERT DRUG IMPLANT"
"12001","Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 2.5 cm or less","SIMPLE REPAIR SCALP/NECK/AX/GENIT/TRUNK 2.5CM/<","REPAIR SUPERFICIAL WOUND(S)"
"12002","Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 2.6 cm to 7.5 cm","SMPL REPAIR SCALP/NECK/AX/GENIT/TRUNK 2.6-7.5CM","REPAIR SUPERFICIAL WOUND(S)"
"12004","Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 7.6 cm to 12.5 cm","SIMPLE RPR SCALP/NECK/AX/GENIT/TRUNK 7.6-12.5CM","REPAIR SUPERFICIAL WOUND(S)"
"12005","Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 12.6 cm to 20.0 cm","SMPL RPR SCALP/NECK/AX/GENIT/TRUNK 12.6-20.0CM","REPAIR SUPERFICIAL WOUND(S)"
"12006","Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 20.1 cm to 30.0 cm","SMPL RPR SCALP/NECK/AX/GENIT/TRUNK 20.1-30.0CM","REPAIR SUPERFICIAL WOUND(S)"
"12007","Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); over 30.0 cm","SIMPLE REPAIR SCALP/NECK/AX/GENIT/TRUNK >30.0CM","REPAIR SUPERFICIAL WOUND(S)"
"12011","Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.5 cm or less","SIMPLE REPAIR F/E/E/N/L/M 2.5CM/<","REPAIR SUPERFICIAL WOUND(S)"
"12013","Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.6 cm to 5.0 cm","SIMPLE REPAIR F/E/E/N/L/M 2.6CM-5.0CM","REPAIR SUPERFICIAL WOUND(S)"
"12014","Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 5.1 cm to 7.5 cm","SIMPLE REPAIR F/E/E/N/L/M 5.1CM-7.5CM","REPAIR SUPERFICIAL WOUND(S)"
"12015","Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 7.6 cm to 12.5 cm","SIMPLE REPAIR F/E/E/N/L/M 7.6CM-12.5CM","REPAIR SUPERFICIAL WOUND(S)"
"12016","Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 12.6 cm to 20.0 cm","SIMPLE REPAIR F/E/E/N/L/M 12.6CM-20.0CM","REPAIR SUPERFICIAL WOUND(S)"
"12017","Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 20.1 cm to 30.0 cm","SIMPLE REPAIR F/E/E/N/L/M 20.1CM-30.0CM","REPAIR SUPERFICIAL WOUND(S)"
"12018","Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; over 30.0 cm","SIMPLE REPAIR F/E/E/N/L/M >30.0CM","REPAIR SUPERFICIAL WOUND(S)"
"12020","Treatment of superficial wound dehiscence; simple closure","TX SUPERFICIAL WOUND DEHISCENCE SIMPLE CLOSURE","CLOSURE OF SPLIT WOUND"
"12021","Treatment of superficial wound dehiscence; with packing","TX SUPERFICIAL WOUND DEHISCENCE W/PACKING","CLOSURE OF SPLIT WOUND"
"12031","Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 2.5 cm or less","REPAIR INTERMEDIATE S/A/T/E 2.5 CM/<","INTMD WND REPAIR S/A/T/EXT"
"12032","Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 2.6 cm to 7.5 cm","REPAIR INTERMEDIATE S/A/T/E 2.6-7.5 CM","INTMD WND REPAIR S/A/T/EXT"
"12034","Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 7.6 cm to 12.5 cm","REPAIR INTERMEDIATE S/A/T/E 7.6-12.5 CM","INTMD WND REPAIR S/TR/EXT"
"12035","Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 12.6 cm to 20.0 cm","REPAIR INTERMEDIATE S/A/T/E 12.6-20.0CM","INTMD WND REPAIR S/A/T/EXT"
"12036","Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 20.1 cm to 30.0 cm","REPAIR INTERMEDIATE S/A/T/E 20.1-30.0 CM","INTMD WND REPAIR S/A/T/EXT"
"12037","Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); over 30.0 cm","REPAIR INTERMEDIATE S/A/T/E > 30.0 CM","INTMD WND REPAIR S/TR/EXT"
"12041","Repair, intermediate, wounds of neck, hands, feet and/or external genitalia; 2.5 cm or less","REPAIR INTERMEDIATE N/H/F/XTRNL GENT 2.5CM/<","INTMD WND REPAIR N-HF/GENIT"
"12042","Repair, intermediate, wounds of neck, hands, feet and/or external genitalia; 2.6 cm to 7.5 cm","REPAIR INTERMEDIATE N/H/F/XTRNL GENT 2.6-7.5 CM","INTMD WND REPAIR N-HF/GENIT"
